Brief Exchange (From DC's Dark Nights: Metal Soundtrack)	Chino Moreno	RATED (mk4) 0930 <99> <= [93]
Blackest Eyes	Porcupine Tree	RATED (mk4) 0930 <99> <= [93]
Resolve	Jakob	RATED (mk4) 0929 <99> <= [100,93,88]
Collapse/Collide	Archive	RATED (mk4) 0929 <99> <= [100,90,90]
Would	Alice In Chains	RATED (mk4) 0928 <99> <= [100,92,91,92]
Threads	This Will Destroy You	RATED (mk4) 0928 <99> <= [100,88]
This Time Imperfect	AFI	RATED (mk4) 0928 <99> <= [100,88]
Spitshine	Dredg	RATED (mk4) 0928 <99> <= [100,88]
River	Opeth	RATED (mk4) 0928 <99> <= [100,88]
Pull Me Back In	A Mote Of Dust	RATED (mk4) 0928 <99> <= [100,88]
The Numbers	Radiohead	RATED (mk4) 0928 <99> <= [100,88]
I Am A River	Foo Fighters	RATED (mk4) 0928 <99> <= [100,88]
H.	Tool	RATED (mk4) 0928 <99> <= [100,88]
Don't Know When but a Day Is Gonna Come	Bright Eyes	RATED (mk4) 0928 <99> <= [100,88]
Brother	Alice in Chains	RATED (mk4) 0928 <99> <= [100,88]
Bricks And Mortar	Editors	RATED (mk4) 0928 <99> <= [100,88]
3 Libras	A Perfect Circle	RATED (mk4) 0927 <99> <= [100,88,91]
Moonpigs	Blackmail	RATED (mk4) 0926 <99> <= [100,89,90]
Fire Made Flesh	Caspian	RATED (mk4) 0925 <99> <= [80,90,93,98]
Women Who Love Men Who Love Drugs	Oceansize	RATED (mk4) 0922 <99> <= [100,87]
Whiteout	Warpaint	RATED (mk4) 0922 <99> <= [100,87]
Where We Begin	MONO	RATED (mk4) 0922 <99> <= [100,87]
Together We Will End This All	Cire	RATED (mk4) 0922 <99> <= [100,87]
The Lost Song, Pt. 1	Anathema	RATED (mk4) 0922 <99> <= [100,87]
Return To Gulu	*Shels	RATED (mk4) 0922 <99> <= [100,87]
The One You Left to Die	The Pineapple Thief	RATED (mk4) 0922 <99> <= [100,87]
Non-Zero Possibility	At the Drive-In	RATED (mk4) 0922 <99> <= [100,87]
Hungry Ghosts	Ohgod!	RATED (mk4) 0922 <99> <= [100,87]
Dangervisit	Archive	RATED (mk4) 0922 <99> <= [100,87]
Abyssopelagic II: Signals of Anxiety	The Ocean	RATED (mk4) 0922 <99> <= [100,87]
Heat Death Infinity Splitter	65daysofstatic	RATED (mk4) 0921 <99> <= [100,86,91]
Closer	Kings Of Leon	RATED (mk4) 0921 <99> <= [100,86,91]
Welcome To Heartlight	Kenny Loggins	RATED (mk4) 0920 <99> <= [92]
Tear	Smashing Pumpkins	RATED (mk4) 0920 <99> <= [92]
Take The Veil Cerpin Taxt	The Mars Volta	RATED (mk4) 0920 <99> <= [92]
Prodigal Son	Iron Maiden	RATED (mk4) 0920 <99> <= [92]
Of a Lifetime	Crippled Black Phoenix	RATED (mk4) 0920 <99> <= [92]
Longview	Green Day	RATED (mk4) 0920 <99> <= [92]
Light Burns Clear	Sparta	RATED (mk4) 0920 <99> <= [92]
Let Me Out	Black Map	RATED (mk4) 0920 <99> <= [92]
Immortality	Pearl Jam	RATED (mk4) 0920 <99> <= [92]
Future Warrior	Palms	RATED (mk4) 0920 <99> <= [92]
Deja vu	Iron Maiden	RATED (mk4) 0920 <99> <= [92]
Gabriel	Lamb	RATED (mk4) 0920 <99> <= [89,94]
Try to Disappear	Baroness	RATED (mk4) 0919 <99> <= [100,91,87]
White Blank Page	Mumford & Sons	RATED (mk4) 0916 <99> <= [100,86]
SuperImposter	Oceansize	RATED (mk4) 0916 <99> <= [100,86]
Splitter	Calexico	RATED (mk4) 0916 <99> <= [100,86]
Skin	Marriages	RATED (mk4) 0916 <99> <= [100,86]
Rano Pano	Mogwai	RATED (mk4) 0916 <99> <= [100,86]
The Quiet Observer	The Ocean	RATED (mk4) 0916 <99> <= [100,86]
Planet Of Insects	Amplifier	RATED (mk4) 0916 <99> <= [100,86]
Mirrors	Lost in Kiev	RATED (mk4) 0916 <99> <= [100,86]
Mary Rose	Amplifier	RATED (mk4) 0916 <99> <= [100,86]
Here We Are Juggernaut	Coheed and Cambria	RATED (mk4) 0916 <99> <= [100,86]
Heard About You Last Night	Mogwai	RATED (mk4) 0916 <99> <= [100,86]
Happiness III	Steven Wilson	RATED (mk4) 0916 <99> <= [100,86]
Diamond Eyes	Deftones	RATED (mk4) 0916 <99> <= [100,86]
All We Are	Lou Rhodes	RATED (mk4) 0916 <99> <= [100,86]
Castles High, Marble Bright	Caspian	RATED (mk4) 0916 <99> <= [88,94]
Ri Ra	Clann Zu	RATED (mk4) 0914 <99> <= [100,91,86]
Fault Line	Black Rebel Motorcycle Club	RATED (mk4) 0913 <99> <= [100,83,91]
Look Away Lucifer	Madrugada	RATED (mk4) 0912 <99> <= [93,90]
Orion	Metallica	RATED (mk4) 0912 <99> <= [90,92]
When the Mountain Comes to Muhammad	Russian Circles	RATED (mk4) 0911 <99> <= [100,84,90]
Come As You Are	Nirvana	RATED (mk4) 0910 <99> <= [100,93,94,87,88]
Same Ol' Road (Album Version)	Dredg	RATED (mk4) 0910 <99> <= [100,88,87]
Yatahaze	Dredg	RATED (mk4) 0910 <99> <= [100,85]
Wheels	Foo Fighters	RATED (mk4) 0910 <99> <= [100,85]
Retaliate	Vennart	RATED (mk4) 0910 <99> <= [100,85]
Pariah (feat. Ninet Tayeb)	Steven Wilson	RATED (mk4) 0910 <99> <= [100,85]
Neon	Amplifier	RATED (mk4) 0910 <99> <= [100,85]
Megalomaniac	Incubus	RATED (mk4) 0910 <99> <= [100,85]
Lonely Boy	The Black Keys	RATED (mk4) 0910 <99> <= [100,85]
Lock All the Doors	Noel Gallagher's High Flying Birds	RATED (mk4) 0910 <99> <= [100,85]
Hornett	All the Saints	RATED (mk4) 0910 <99> <= [100,85]
Hindsight	Anathema	RATED (mk4) 0910 <99> <= [100,85]
Hex Omega	Opeth	RATED (mk4) 0910 <99> <= [100,85]
The Broken	Coheed and Cambria	RATED (mk4) 0910 <99> <= [100,85]
You're Lionel Ritchie	Mogwai	RATED (mk4) 0910 <99> <= [91]
The Willing Well IV: The Final Cut	Coheed and Cambria	RATED (mk4) 0910 <99> <= [91]
Transient Days	Soup	RATED (mk4) 0910 <99> <= [91]
Strange World	Iron Maiden	RATED (mk4) 0910 <99> <= [91]
Sentimental	Porcupine Tree	RATED (mk4) 0910 <99> <= [91]
Mortal Coil	God Is an Astronaut	RATED (mk4) 0910 <99> <= [91]
Jeremy	Pearl Jam	RATED (mk4) 0910 <99> <= [91]
The Great Below	Nine Inch Nails	RATED (mk4) 0910 <99> <= [91]
God Break Down the Door	Nine Inch Nails	RATED (mk4) 0910 <99> <= [91]
Pioneer to The Falls	Interpol	RATED (mk4) 0909 <98> <= [100,89,86]
Stranded	GOJIRA	RATED (mk4) 0908 <98> <= [100,98,80,90,93]
Anthem for No State, Pt. III	Godspeed You! Black Emperor	RATED (mk4) 0908 <98> <= [100,89,92,88]
Red Flag	Billy Talent	RATED (mk4) 0907 <98> <= [100,90,85]
Circle The Fringes	The Gutter Twins	RATED (mk4) 0907 <98> <= [100,84,89]
All Is Full Of Love	Bjork	RATED (mk4) 0907 <98> <= [100,84,89]
Wildfires	Anathema	RATED (mk4) 0906 <98> <= [100,88,86]
Room Without a View	The Butterfly Effect	RATED (mk4) 0906 <98> <= [100,85,88]
Little Lion Man	Mumford & Sons	RATED (mk4) 0906 <98> <= [100,82,90]
Unfinished Sympathies	Massive Attack	RATED (mk4) 0906 <98> <= [93,89]
When The Sun Rose Again	Alice In Chains	RATED (mk4) 0904 <98> <= [100,86,87]
Viking Death March	Billy Talent	RATED (mk4) 0904 <98> <= [100,84]
Sun	Lamb	RATED (mk4) 0904 <98> <= [100,84]
Steambreather	Mastodon	RATED (mk4) 0904 <98> <= [100,84]
Simple as That	The Pineapple Thief	RATED (mk4) 0904 <98> <= [100,84]
Roland, I Feel You	Get Well Soon	RATED (mk4) 0904 <98> <= [100,84]
Mota	Russian Circles	RATED (mk4) 0904 <98> <= [100,84]
